Timestamp,iSTAR i8,Input Port
07/31/23 14:47:39,---,---,TEST #0 Trial:0
07/31/23 14:47:39,i8.1,input 0 ACTIVE,
07/31/23 14:47:41,i8.1,input 0 INACTIVE,
07/31/23 14:47:42,i8.1,input 1 ACTIVE,
07/31/23 14:47:44,i8.1,input 1 INACTIVE,
07/31/23 14:47:46,i8.1,input 2 ACTIVE,
07/31/23 14:47:48,i8.1,input 2 INACTIVE,
07/31/23 14:47:49,i8.1,input 3 ACTIVE,
07/31/23 14:47:51,i8.1,input 3 INACTIVE,
07/31/23 14:47:52,i8.1,input 4 ACTIVE,
07/31/23 14:47:54,i8.1,input 4 INACTIVE,
07/31/23 14:47:55,i8.1,input 5 ACTIVE,
07/31/23 14:47:57,i8.1,input 5 INACTIVE,
07/31/23 14:47:58,i8.1,input 6 ACTIVE,
07/31/23 14:48:00,i8.1,input 6 INACTIVE,
07/31/23 14:48:01,i8.1,input 7 ACTIVE,
07/31/23 14:48:03,i8.1,input 7 INACTIVE,
07/31/23 14:48:04,---,---,END OF TEST #0 Trial: 0
07/31/23 14:48:04,---,---,TEST #0 Trial:0
07/31/23 14:48:04,i8.2,input 0 ACTIVE,
07/31/23 14:48:06,i8.2,input 0 INACTIVE,
07/31/23 14:48:07,i8.2,input 1 ACTIVE,
07/31/23 14:48:09,i8.2,input 1 INACTIVE,
07/31/23 14:48:10,i8.2,input 2 ACTIVE,
07/31/23 14:48:12,i8.2,input 2 INACTIVE,
07/31/23 14:48:13,i8.2,input 3 ACTIVE,
07/31/23 14:48:15,i8.2,input 3 INACTIVE,
07/31/23 14:48:16,i8.2,input 4 ACTIVE,
07/31/23 14:48:18,i8.2,input 4 INACTIVE,
07/31/23 14:48:19,i8.2,input 5 ACTIVE,
07/31/23 14:48:21,i8.2,input 5 INACTIVE,
07/31/23 14:48:22,i8.2,input 6 ACTIVE,
07/31/23 14:48:24,i8.2,input 6 INACTIVE,
07/31/23 14:48:25,i8.2,input 7 ACTIVE,
07/31/23 14:48:27,i8.2,input 7 INACTIVE,
07/31/23 14:48:28,---,---,END OF TEST #0 Trial: 0
07/31/23 14:48:28,---,---,TEST #0 Trial:0
07/31/23 14:48:28,i8.3,input 0 ACTIVE,
07/31/23 14:48:30,i8.3,input 0 INACTIVE,
07/31/23 14:48:31,i8.3,input 1 ACTIVE,
07/31/23 14:48:33,i8.3,input 1 INACTIVE,
07/31/23 14:48:34,i8.3,input 2 ACTIVE,
07/31/23 14:48:36,i8.3,input 2 INACTIVE,
