Timestamp,iSTAR i8,Input Port
07/31/23 14:48:37,i8.3,input 3 ACTIVE,
07/31/23 14:48:39,i8.3,input 3 INACTIVE,
07/31/23 14:48:40,i8.3,input 4 ACTIVE,
07/31/23 14:48:42,i8.3,input 4 INACTIVE,
07/31/23 14:48:43,i8.3,input 5 ACTIVE,
07/31/23 14:48:45,i8.3,input 5 INACTIVE,
07/31/23 14:48:46,i8.3,input 6 ACTIVE,
07/31/23 14:48:48,i8.3,input 6 INACTIVE,
07/31/23 14:48:49,i8.3,input 7 ACTIVE,
07/31/23 14:48:51,i8.3,input 7 INACTIVE,
07/31/23 14:48:52,---,---,END OF TEST #0 Trial: 0
07/31/23 14:48:52,---,---,TEST #0 Trial:0
07/31/23 14:48:52,i8.4,input 0 ACTIVE,
07/31/23 14:48:54,i8.4,input 0 INACTIVE,
07/31/23 14:48:55,i8.4,input 1 ACTIVE,
07/31/23 14:48:57,i8.4,input 1 INACTIVE,
07/31/23 14:48:58,i8.4,input 2 ACTIVE,
07/31/23 14:49:00,i8.4,input 2 INACTIVE,
07/31/23 14:49:01,i8.4,input 3 ACTIVE,
07/31/23 14:49:03,i8.4,input 3 INACTIVE,
07/31/23 14:49:04,i8.4,input 4 ACTIVE,
07/31/23 14:49:06,i8.4,input 4 INACTIVE,
07/31/23 14:49:07,i8.4,input 5 ACTIVE,
07/31/23 14:49:09,i8.4,input 5 INACTIVE,
07/31/23 14:49:10,i8.4,input 6 ACTIVE,
07/31/23 14:49:12,i8.4,input 6 INACTIVE,
07/31/23 14:49:13,i8.4,input 7 ACTIVE,
07/31/23 14:49:15,i8.4,input 7 INACTIVE,
07/31/23 14:49:16,---,---,END OF TEST #0 Trial: 0
07/31/23 14:49:16,---,---,TEST #0 Trial:0
07/31/23 14:49:16,i8.5,input 0 ACTIVE,
07/31/23 14:49:18,i8.5,input 0 INACTIVE,
07/31/23 14:49:19,i8.5,input 1 ACTIVE,
07/31/23 14:49:21,i8.5,input 1 INACTIVE,
07/31/23 14:49:22,i8.5,input 2 ACTIVE,
07/31/23 14:49:24,i8.5,input 2 INACTIVE,
07/31/23 14:49:25,i8.5,input 3 ACTIVE,
07/31/23 14:49:27,i8.5,input 3 INACTIVE,
07/31/23 14:49:28,i8.5,input 4 ACTIVE,
07/31/23 14:49:30,i8.5,input 4 INACTIVE,
07/31/23 14:49:31,i8.5,input 5 ACTIVE,
07/31/23 14:49:33,i8.5,input 5 INACTIVE,
07/31/23 14:49:34,i8.5,input 6 ACTIVE,
07/31/23 14:49:36,i8.5,input 6 INACTIVE,
07/31/23 14:49:37,i8.5,input 7 ACTIVE,
07/31/23 14:49:39,i8.5,input 7 INACTIVE,
07/31/23 14:49:40,---,---,END OF TEST #0 Trial: 0
07/31/23 14:49:40,---,---,TEST #0 Trial:0
07/31/23 14:49:40,i8.6,input 0 ACTIVE,
07/31/23 14:49:42,i8.6,input 0 INACTIVE,
07/31/23 14:49:43,i8.6,input 1 ACTIVE,
07/31/23 14:49:45,i8.6,input 1 INACTIVE,
07/31/23 14:49:46,i8.6,input 2 ACTIVE,
07/31/23 14:49:48,i8.6,input 2 INACTIVE,
07/31/23 14:49:49,i8.6,input 3 ACTIVE,
07/31/23 14:49:52,i8.6,input 3 INACTIVE,
07/31/23 14:49:53,i8.6,input 4 ACTIVE,
07/31/23 14:49:55,i8.6,input 4 INACTIVE,
07/31/23 14:49:56,i8.6,input 5 ACTIVE,
07/31/23 14:49:58,i8.6,input 5 INACTIVE,
07/31/23 14:49:59,i8.6,input 6 ACTIVE,
07/31/23 14:50:01,i8.6,input 6 INACTIVE,
07/31/23 14:50:02,i8.6,input 7 ACTIVE,
07/31/23 14:50:04,i8.6,input 7 INACTIVE,
07/31/23 14:50:05,---,---,END OF TEST #0 Trial: 0
07/31/23 14:50:05,---,---,TEST #0 Trial:0
07/31/23 14:50:05,i8.7,input 0 ACTIVE,
07/31/23 14:50:07,i8.7,input 0 INACTIVE,
07/31/23 14:50:08,i8.7,input 1 ACTIVE,
07/31/23 14:50:10,i8.7,input 1 INACTIVE,
07/31/23 14:50:11,i8.7,input 2 ACTIVE,
07/31/23 14:50:13,i8.7,input 2 INACTIVE,
07/31/23 14:50:14,i8.7,input 3 ACTIVE,
07/31/23 14:50:16,i8.7,input 3 INACTIVE,
07/31/23 14:50:17,i8.7,input 4 ACTIVE,
07/31/23 14:50:19,i8.7,input 4 INACTIVE,
07/31/23 14:50:20,i8.7,input 5 ACTIVE,
07/31/23 14:50:22,i8.7,input 5 INACTIVE,
07/31/23 14:50:23,i8.7,input 6 ACTIVE,
07/31/23 14:50:25,i8.7,input 6 INACTIVE,
07/31/23 14:50:26,i8.7,input 7 ACTIVE,
07/31/23 14:50:28,i8.7,input 7 INACTIVE,
07/31/23 14:50:29,---,---,END OF TEST #0 Trial: 0
07/31/23 14:50:29,---,---,TEST #0 Trial:0
07/31/23 14:50:29,i8.8,input 0 ACTIVE,
07/31/23 14:50:31,i8.8,input 0 INACTIVE,
07/31/23 14:50:32,i8.8,input 1 ACTIVE,
07/31/23 14:50:34,i8.8,input 1 INACTIVE,
07/31/23 14:50:35,i8.8,input 2 ACTIVE,
07/31/23 14:50:37,i8.8,input 2 INACTIVE,
07/31/23 14:50:38,i8.8,input 3 ACTIVE,
07/31/23 14:50:40,i8.8,input 3 INACTIVE,
07/31/23 14:50:41,i8.8,input 4 ACTIVE,
07/31/23 14:50:43,i8.8,input 4 INACTIVE,
07/31/23 14:50:44,i8.8,input 5 ACTIVE,
07/31/23 14:50:46,i8.8,input 5 INACTIVE,
07/31/23 14:50:47,i8.8,input 6 ACTIVE,
07/31/23 14:50:49,i8.8,input 6 INACTIVE,
07/31/23 14:50:50,i8.8,input 7 ACTIVE,
07/31/23 14:50:52,i8.8,input 7 INACTIVE,
07/31/23 14:50:53,---,---,END OF TEST #0 Trial: 0
