Timestamp,iSTAR i8,Input Port
08/03/23 10:48:32,i8.7,input 0 ACTIVE,
08/03/23 10:48:33,i8.7,input 0 INACTIVE,
08/03/23 10:48:34,i8.7,input 1 ACTIVE,
08/03/23 10:48:35,i8.7,input 1 INACTIVE,
08/03/23 10:48:36,i8.7,input 2 ACTIVE,
08/03/23 10:48:37,i8.7,input 2 INACTIVE,
08/03/23 10:48:38,i8.7,input 3 ACTIVE,
08/03/23 10:48:39,i8.7,input 3 INACTIVE,
08/03/23 10:48:40,i8.7,input 4 ACTIVE,
08/03/23 10:48:41,i8.7,input 4 INACTIVE,
08/03/23 10:48:42,i8.7,input 5 ACTIVE,
08/03/23 10:48:43,i8.7,input 5 INACTIVE,
08/03/23 10:48:44,i8.7,input 6 ACTIVE,
08/03/23 10:48:45,i8.7,input 6 INACTIVE,
08/03/23 10:48:46,i8.7,input 7 ACTIVE,
08/03/23 10:48:47,i8.7,input 7 INACTIVE,
08/03/23 10:48:48,---,---,END OF TEST #0 Trial: 0
08/03/23 10:48:48,---,---,TEST #0 Trial:0
08/03/23 10:48:48,i8.8,input 0 ACTIVE,
08/03/23 10:48:49,i8.8,input 0 INACTIVE,
08/03/23 10:48:50,i8.8,input 1 ACTIVE,
08/03/23 10:48:51,i8.8,input 1 INACTIVE,
08/03/23 10:48:52,i8.8,input 2 ACTIVE,
08/03/23 10:48:53,i8.8,input 2 INACTIVE,
08/03/23 10:48:54,i8.8,input 3 ACTIVE,
08/03/23 10:48:55,i8.8,input 3 INACTIVE,
08/03/23 10:48:56,i8.8,input 4 ACTIVE,
08/03/23 10:48:57,i8.8,input 4 INACTIVE,
08/03/23 10:48:58,i8.8,input 5 ACTIVE,
08/03/23 10:48:59,i8.8,input 5 INACTIVE,
08/03/23 10:49:00,i8.8,input 6 ACTIVE,
08/03/23 10:49:01,i8.8,input 6 INACTIVE,
08/03/23 10:49:02,i8.8,input 7 ACTIVE,
08/03/23 10:49:03,i8.8,input 7 INACTIVE,
08/03/23 10:49:04,---,---,END OF TEST #0 Trial: 0
08/03/23 10:49:04,---,---,TEST #0 Trial:1
08/03/23 10:49:04,i8.1,input 0 ACTIVE,
08/03/23 10:49:05,i8.1,input 0 INACTIVE,
08/03/23 10:49:06,i8.1,input 1 ACTIVE,
08/03/23 10:49:07,i8.1,input 1 INACTIVE,
08/03/23 10:49:08,i8.1,input 2 ACTIVE,
08/03/23 10:49:09,i8.1,input 2 INACTIVE,
08/03/23 10:49:10,i8.1,input 3 ACTIVE,
08/03/23 10:49:11,i8.1,input 3 INACTIVE,
08/03/23 10:49:12,i8.1,input 4 ACTIVE,
08/03/23 10:49:13,i8.1,input 4 INACTIVE,
08/03/23 10:49:14,i8.1,input 5 ACTIVE,
08/03/23 10:49:15,i8.1,input 5 INACTIVE,
08/03/23 10:49:16,i8.1,input 6 ACTIVE,
08/03/23 10:49:17,i8.1,input 6 INACTIVE,
08/03/23 10:49:18,i8.1,input 7 ACTIVE,
08/03/23 10:49:19,i8.1,input 7 INACTIVE,
08/03/23 10:49:20,---,---,END OF TEST #0 Trial: 1
08/03/23 10:49:20,---,---,TEST #0 Trial:1
08/03/23 10:49:20,i8.2,input 0 ACTIVE,
08/03/23 10:49:21,i8.2,input 0 INACTIVE,
08/03/23 10:49:22,i8.2,input 1 ACTIVE,
08/03/23 10:49:23,i8.2,input 1 INACTIVE,
08/03/23 10:49:24,i8.2,input 2 ACTIVE,
08/03/23 10:49:25,i8.2,input 2 INACTIVE,
08/03/23 10:49:26,i8.2,input 3 ACTIVE,
08/03/23 10:49:27,i8.2,input 3 INACTIVE,
08/03/23 10:49:28,i8.2,input 4 ACTIVE,
08/03/23 10:49:29,i8.2,input 4 INACTIVE,
08/03/23 10:49:30,i8.2,input 5 ACTIVE,
08/03/23 10:49:31,i8.2,input 5 INACTIVE,
08/03/23 10:49:32,i8.2,input 6 ACTIVE,
08/03/23 10:49:33,i8.2,input 6 INACTIVE,
08/03/23 10:49:34,i8.2,input 7 ACTIVE,
08/03/23 10:49:35,i8.2,input 7 INACTIVE,
08/03/23 10:49:36,---,---,END OF TEST #0 Trial: 1
08/03/23 10:49:36,---,---,TEST #0 Trial:1
08/03/23 10:49:36,i8.3,input 0 ACTIVE,
08/03/23 10:49:37,i8.3,input 0 INACTIVE,
08/03/23 10:49:38,i8.3,input 1 ACTIVE,
08/03/23 10:49:39,i8.3,input 1 INACTIVE,
08/03/23 10:49:40,i8.3,input 2 ACTIVE,
08/03/23 10:49:41,i8.3,input 2 INACTIVE,
08/03/23 10:49:42,i8.3,input 3 ACTIVE,
08/03/23 10:49:43,i8.3,input 3 INACTIVE,
08/03/23 10:49:44,i8.3,input 4 ACTIVE,
08/03/23 10:49:45,i8.3,input 4 INACTIVE,
08/03/23 10:49:46,i8.3,input 5 ACTIVE,
08/03/23 10:49:47,i8.3,input 5 INACTIVE,
08/03/23 10:49:48,i8.3,input 6 ACTIVE,
08/03/23 10:49:49,i8.3,input 6 INACTIVE,
08/03/23 10:49:50,i8.3,input 7 ACTIVE,
08/03/23 10:49:51,i8.3,input 7 INACTIVE,
08/03/23 10:49:52,---,---,END OF TEST #0 Trial: 1
08/03/23 10:49:52,---,---,TEST #0 Trial:1
08/03/23 10:49:52,i8.4,input 0 ACTIVE,
08/03/23 10:49:53,i8.4,input 0 INACTIVE,
08/03/23 10:49:54,i8.4,input 1 ACTIVE,
08/03/23 10:49:55,i8.4,input 1 INACTIVE,
08/03/23 10:49:56,i8.4,input 2 ACTIVE,
08/03/23 10:49:57,i8.4,input 2 INACTIVE,
08/03/23 10:49:58,i8.4,input 3 ACTIVE,
08/03/23 10:49:59,i8.4,input 3 INACTIVE,
08/03/23 10:50:00,i8.4,input 4 ACTIVE,
08/03/23 10:50:01,i8.4,input 4 INACTIVE,
08/03/23 10:50:02,i8.4,input 5 ACTIVE,
08/03/23 10:50:03,i8.4,input 5 INACTIVE,
08/03/23 10:50:04,i8.4,input 6 ACTIVE,
08/03/23 10:50:05,i8.4,input 6 INACTIVE,
08/03/23 10:50:06,i8.4,input 7 ACTIVE,
08/03/23 10:50:07,i8.4,input 7 INACTIVE,
08/03/23 10:50:08,---,---,END OF TEST #0 Trial: 1
08/03/23 10:50:08,---,---,TEST #0 Trial:1
08/03/23 10:50:08,i8.5,input 0 ACTIVE,
08/03/23 10:50:09,i8.5,input 0 INACTIVE,
08/03/23 10:50:10,i8.5,input 1 ACTIVE,
08/03/23 10:50:11,i8.5,input 1 INACTIVE,
08/03/23 10:50:12,i8.5,input 2 ACTIVE,
08/03/23 10:50:13,i8.5,input 2 INACTIVE,
08/03/23 10:50:14,i8.5,input 3 ACTIVE,
08/03/23 10:50:15,i8.5,input 3 INACTIVE,
08/03/23 10:50:16,i8.5,input 4 ACTIVE,
08/03/23 10:50:17,i8.5,input 4 INACTIVE,
08/03/23 10:50:18,i8.5,input 5 ACTIVE,
08/03/23 10:50:19,i8.5,input 5 INACTIVE,
08/03/23 10:50:20,i8.5,input 6 ACTIVE,
08/03/23 10:50:21,i8.5,input 6 INACTIVE,
08/03/23 10:50:22,i8.5,input 7 ACTIVE,
08/03/23 10:50:23,i8.5,input 7 INACTIVE,
08/03/23 10:50:24,---,---,END OF TEST #0 Trial: 1
08/03/23 10:50:24,---,---,TEST #0 Trial:1
08/03/23 10:50:24,i8.6,input 0 ACTIVE,
08/03/23 10:50:25,i8.6,input 0 INACTIVE,
08/03/23 10:50:26,i8.6,input 1 ACTIVE,
08/03/23 10:50:27,i8.6,input 1 INACTIVE,
08/03/23 10:50:28,i8.6,input 2 ACTIVE,
08/03/23 10:50:29,i8.6,input 2 INACTIVE,
08/03/23 10:50:30,i8.6,input 3 ACTIVE,
08/03/23 10:50:31,i8.6,input 3 INACTIVE,
08/03/23 10:50:32,i8.6,input 4 ACTIVE,
08/03/23 10:50:33,i8.6,input 4 INACTIVE,
08/03/23 10:50:34,i8.6,input 5 ACTIVE,
08/03/23 10:50:35,i8.6,input 5 INACTIVE,
08/03/23 10:50:36,i8.6,input 6 ACTIVE,
08/03/23 10:50:37,i8.6,input 6 INACTIVE,
08/03/23 10:50:38,i8.6,input 7 ACTIVE,
08/03/23 10:50:39,i8.6,input 7 INACTIVE,
08/03/23 10:50:40,---,---,END OF TEST #0 Trial: 1
08/03/23 10:50:40,---,---,TEST #0 Trial:1
08/03/23 10:50:40,i8.7,input 0 ACTIVE,
08/03/23 10:50:41,i8.7,input 0 INACTIVE,
08/03/23 10:50:42,i8.7,input 1 ACTIVE,
08/03/23 10:50:43,i8.7,input 1 INACTIVE,
08/03/23 10:50:44,i8.7,input 2 ACTIVE,
08/03/23 10:50:45,i8.7,input 2 INACTIVE,
08/03/23 10:50:46,i8.7,input 3 ACTIVE,
08/03/23 10:50:47,i8.7,input 3 INACTIVE,
08/03/23 10:50:48,i8.7,input 4 ACTIVE,
08/03/23 10:50:49,i8.7,input 4 INACTIVE,
08/03/23 10:50:50,i8.7,input 5 ACTIVE,
08/03/23 10:50:51,i8.7,input 5 INACTIVE,
08/03/23 10:50:52,i8.7,input 6 ACTIVE,
08/03/23 10:50:53,i8.7,input 6 INACTIVE,
08/03/23 10:50:54,i8.7,input 7 ACTIVE,
08/03/23 10:50:55,i8.7,input 7 INACTIVE,
08/03/23 10:50:56,---,---,END OF TEST #0 Trial: 1
08/03/23 10:50:56,---,---,TEST #0 Trial:1
08/03/23 10:50:56,i8.8,input 0 ACTIVE,
08/03/23 10:50:57,i8.8,input 0 INACTIVE,
08/03/23 10:50:58,i8.8,input 1 ACTIVE,
08/03/23 10:50:59,i8.8,input 1 INACTIVE,
08/03/23 10:51:00,i8.8,input 2 ACTIVE,
08/03/23 10:51:01,i8.8,input 2 INACTIVE,
08/03/23 10:51:02,i8.8,input 3 ACTIVE,
08/03/23 10:51:03,i8.8,input 3 INACTIVE,
08/03/23 10:51:04,i8.8,input 4 ACTIVE,
08/03/23 10:51:05,i8.8,input 4 INACTIVE,
08/03/23 10:51:06,i8.8,input 5 ACTIVE,
08/03/23 10:51:07,i8.8,input 5 INACTIVE,
08/03/23 10:51:08,i8.8,input 6 ACTIVE,
08/03/23 10:51:09,i8.8,input 6 INACTIVE,
08/03/23 10:51:10,i8.8,input 7 ACTIVE,
08/03/23 10:51:11,i8.8,input 7 INACTIVE,
08/03/23 10:51:12,---,---,END OF TEST #0 Trial: 1
08/03/23 10:51:12,---,---,TEST #0 Trial:2
08/03/23 10:51:12,i8.1,input 0 ACTIVE,
08/03/23 10:51:13,i8.1,input 0 INACTIVE,
08/03/23 10:51:14,i8.1,input 1 ACTIVE,
08/03/23 10:51:15,i8.1,input 1 INACTIVE,
08/03/23 10:51:16,i8.1,input 2 ACTIVE,
08/03/23 10:51:17,i8.1,input 2 INACTIVE,
08/03/23 10:51:18,i8.1,input 3 ACTIVE,
08/03/23 10:51:19,i8.1,input 3 INACTIVE,
08/03/23 10:51:20,i8.1,input 4 ACTIVE,
08/03/23 10:51:21,i8.1,input 4 INACTIVE,
08/03/23 10:51:22,i8.1,input 5 ACTIVE,
08/03/23 10:51:23,i8.1,input 5 INACTIVE,
08/03/23 10:51:24,i8.1,input 6 ACTIVE,
08/03/23 10:51:25,i8.1,input 6 INACTIVE,
08/03/23 10:51:26,i8.1,input 7 ACTIVE,
08/03/23 10:51:27,i8.1,input 7 INACTIVE,
08/03/23 10:51:28,---,---,END OF TEST #0 Trial: 2
08/03/23 10:51:28,---,---,TEST #0 Trial:2
08/03/23 10:51:28,i8.2,input 0 ACTIVE,
08/03/23 10:51:29,i8.2,input 0 INACTIVE,
08/03/23 10:51:30,i8.2,input 1 ACTIVE,
08/03/23 10:51:31,i8.2,input 1 INACTIVE,
