Timestamp,iSTAR i8,Input Port
08/01/23 15:40:10,---,---,TEST #0 Trial:0
08/01/23 15:40:10,i8.1,input 0 ACTIVE,
08/01/23 15:40:12,i8.1,input 0 INACTIVE,
08/01/23 15:40:14,i8.1,input 1 ACTIVE,
08/01/23 15:40:16,i8.1,input 1 INACTIVE,
08/01/23 15:40:17,i8.1,input 2 ACTIVE,
08/01/23 15:40:19,i8.1,input 2 INACTIVE,
08/01/23 15:40:20,i8.1,input 3 ACTIVE,
08/01/23 15:40:22,i8.1,input 3 INACTIVE,
08/01/23 15:40:23,i8.1,input 4 ACTIVE,
08/01/23 15:40:25,i8.1,input 4 INACTIVE,
08/01/23 15:40:26,i8.1,input 5 ACTIVE,
08/01/23 15:40:28,i8.1,input 5 INACTIVE,
08/01/23 15:40:29,i8.1,input 6 ACTIVE,
08/01/23 15:40:31,i8.1,input 6 INACTIVE,
08/01/23 15:40:32,i8.1,input 7 ACTIVE,
08/01/23 15:40:34,i8.1,input 7 INACTIVE,
08/01/23 15:40:35,---,---,END OF TEST #0 Trial: 0
08/01/23 15:40:35,---,---,TEST #0 Trial:0
08/01/23 15:40:35,i8.2,input 0 ACTIVE,
08/01/23 15:40:37,i8.2,input 0 INACTIVE,
08/01/23 15:40:38,i8.2,input 1 ACTIVE,
08/01/23 15:40:40,i8.2,input 1 INACTIVE,
08/01/23 15:40:41,i8.2,input 2 ACTIVE,
08/01/23 15:40:43,i8.2,input 2 INACTIVE,
08/01/23 15:40:44,i8.2,input 3 ACTIVE,
08/01/23 15:40:46,i8.2,input 3 INACTIVE,
08/01/23 15:40:47,i8.2,input 4 ACTIVE,
08/01/23 15:40:49,i8.2,input 4 INACTIVE,
08/01/23 15:40:50,i8.2,input 5 ACTIVE,
08/01/23 15:40:52,i8.2,input 5 INACTIVE,
08/01/23 15:40:53,i8.2,input 6 ACTIVE,
08/01/23 15:40:55,i8.2,input 6 INACTIVE,
08/01/23 15:40:56,i8.2,input 7 ACTIVE,
08/01/23 15:40:58,i8.2,input 7 INACTIVE,
08/01/23 15:40:59,---,---,END OF TEST #0 Trial: 0
08/01/23 15:40:59,---,---,TEST #0 Trial:0
08/01/23 15:40:59,i8.3,input 0 ACTIVE,
08/01/23 15:41:01,i8.3,input 0 INACTIVE,
08/01/23 15:41:02,i8.3,input 1 ACTIVE,
08/01/23 15:41:04,i8.3,input 1 INACTIVE,
08/01/23 15:41:05,i8.3,input 2 ACTIVE,
08/01/23 15:41:07,i8.3,input 2 INACTIVE,
08/01/23 15:41:08,i8.3,input 3 ACTIVE,
08/01/23 15:41:10,i8.3,input 3 INACTIVE,
08/01/23 15:41:11,i8.3,input 4 ACTIVE,
